seconds foF2(in) foF2(out) hmF2(in) hmF2(out)

2759700 5.150 4.950 247.300 192.800
2760000 4.950 4.950 192.300 207.200
2760300 4.900 4.900 207.200 207.200
2760600 4.625 4.625 218.500 218.500
2760900 4.450 4.450 221.600 218.500
2761200 4.450 4.450 201.100 217.100
2761500 4.400 4.400 217.100 217.100
2761800 4.325 4.325 220.200 220.200
2762100 4.213 4.250 224.500 224.500
2762400 4.250 4.213 256.600 224.500
2762700 4.150 4.250 216.800 244.500
2763000 4.450 4.225 244.500 216.800
2763300 4.225 4.450 213.700 244.500
2763600 4.550 4.550 263.600 244.000
2763900 4.613 4.613 244.000 261.300
2764200 4.750 4.650 261.300 244.000
2764500 4.650 4.700 231.200 261.300
2764800 4.700 4.700 267.700 245.700
2765400 4.707 4.700 245.700 245.700
2765700 4.600 4.700 239.700 245.700
2766000 4.700 4.600 280.900 260.500
2766300 4.600 4.600 260.500 260.500
2766600 4.400 4.400 255.600 255.600
2766900 4.400 4.400 253.200 255.600
2767200 4.300 4.300 267.300 253.700
2767500 4.300 4.300 253.700 253.700
2767800 4.300 4.300 249.200 249.200
2768100 4.100 4.100 242.500 249.200
2768400 4.000 4.000 269.000 242.500
2768700 3.500 3.500 227.200 227.200
2769000 3.300 3.500 221.400 227.200
2769300 3.600 3.300 252.200 221.400
2769600 3.100 3.100 205.300 244.500
2769900 3.100 3.100 244.500 228.800
2770200 5.300 5.100 228.800 231.500
2770500 5.100 5.300 231.500 229.100
2770800 5.500 5.100 229.100 229.100
2771100 4.500 5.500 215.400 229.100
2771400 6.200 6.200 237.000 237.000
2771700 6.300 6.200 327.900 237.000
2772000 4.100 4.300 219.200 219.200
2772300 4.300 4.300 218.400 219.200
2772600 5.500 5.500 307.700 218.400
2772900 6.100 5.500 217.100 217.100
2773200 5.500 5.500 216.000 216.000
2773500 3.100 3.900 211.100 216.000
2773800 3.900 3.900 296.900 296.900
2774100 3.900 3.900 296.900 296.900
2774400 4.300 4.300 213.600 217.900
2774700 5.800 4.300 217.900 215.500
2775000 4.100 4.100 215.500 217.900
2775300 3.900 4.100 223.500 223.500
2775600 5.100 4.000 224.900 223.500
2775900 4.000 4.900 212.000 224.500
2776200 4.900 4.400 224.500 216.900
2776500 4.400 4.400 216.900 219.000
2776800 3.300 3.300 219.000 219.000
2777100 3.300 3.300 297.200 297.200
2777400 3.300 3.300 297.200 297.200
2777700 3.300 3.300 282.400 282.400
2778000 3.300 3.300 274.900 274.900
2778300 3.300 3.300 274.900 274.900
2778600 3.300 3.300 274.900 274.900
2778900 3.200 3.200 319.700 274.900
2779200 3.200 3.200 269.200 314.300
2779500 3.300 3.300 314.300 314.300
2779800 3.300 3.300 314.300 314.300
2780100 3.200 3.200 421.100 421.100
2780400 3.200 3.200 421.100 421.100
2780700 3.500 3.300 300.500 300.500
2781000 3.300 3.400 287.200 287.200
2781300 3.400 3.400 242.300 250.700
2781600 3.600 3.400 250.700 244.700
2781900 3.400 3.400 244.700 249.000
2782200 3.400 3.400 249.000 249.000
2782500 3.700 3.700 284.300 276.300
2782800 3.700 3.700 276.300 276.300
2783100 3.700 3.700 273.900 276.300
2783400 4.000 3.700 317.000 273.900
2783700 3.700 3.800 264.100 273.900
2784000 3.800 3.800 273.900 273.900
2784300 3.800 3.800 294.300 282.200
2784600 3.900 3.900 282.200 282.200
2784900 3.900 3.900 282.200 282.200
2785200 3.900 3.900 293.000 293.000
2785500 4.000 3.900 301.100 293.000
2785800 3.800 3.900 270.100 297.300
2786100 3.900 3.800 297.300 278.400
2786400 3.700 3.900 278.400 297.300
2786700 3.900 3.900 300.300 300.300
2787000 4.000 4.000 304.900 304.900
2787300 4.200 4.000 333.600 304.900
2787600 4.000 4.100 288.600 299.700
2787900 4.100 4.000 299.700 295.900
2788200 4.000 4.100 295.900 299.700
2788500 4.100 4.000 301.000 295.900
2788800 3.800 4.000 290.300 290.300
2789100 4.000 3.800 288.700 290.300
2789400 3.000 4.000 463.100 288.700
2789700 4.100 4.100 287.400 303.400
2790000 4.100 4.100 303.400 296.600
2790300 4.100 4.100 296.600 296.600
2790600 4.200 4.100 268.100 292.500
2790900 4.000 4.100 292.500 292.500
2791200 4.100 4.000 303.700 294.800
2791500 4.000 4.000 294.800 303.700
2791800 4.000 4.000 310.900 301.900
2792100 4.100 4.100 301.900 310.900
2792400 4.400 4.100 360.200 313.100
2792700 4.100 4.300 313.100 334.700
2793000 4.300 4.200 334.700 313.100
2793300 4.200 4.200 288.100 288.100
2793600 4.000 4.000 284.200 284.200
2793900 3.900 4.000 275.000 284.200
2794200 4.100 4.000 296.100 275.000
2794500 4.000 4.100 265.800 296.100
2794800 4.400 4.400 302.600 290.200
2795100 4.500 4.400 290.200 290.200
2795400 4.200 4.400 264.100 271.400
2795700 4.400 4.400 271.400 265.400
2796000 4.500 4.500 265.400 269.400
2796300 4.500 4.500 269.400 269.400
2796600 4.600 4.500 270.200 269.400
2796900 4.300 4.500 253.100 265.300
2797200 4.500 4.500 265.300 260.500
2797500 4.500 4.500 260.500 265.300
2797800 4.500 4.500 279.400 267.400
2798100 4.500 4.500 267.400 268.000
2798400 4.400 4.500 268.000 268.000
2798700 4.500 4.400 282.800 268.000
2799000 4.400 4.400 261.400 276.600
2799300 4.300 4.300 276.600 276.600
2799600 4.300 4.300 284.100 283.700
2799900 4.300 4.300 283.700 283.700
2800200 4.300 4.300 265.900 276.800
2800500 4.400 4.400 276.800 265.900
2800800 4.500 4.500 265.500 272.100
2801100 4.500 4.500 272.100 265.500
2801400 4.400 4.400 258.900 258.900
2801700 4.300 4.400 248.700 258.900
2802000 4.500 4.300 293.900 258.000
2802300 4.300 4.300 258.000 270.500
2802600 4.300 4.300 270.500 270.500
2802900 4.300 4.300 277.000 270.500
2803200 4.200 4.200 257.500 257.500
2803500 4.200 4.200 256.800 257.500
2803800 4.200 4.200 260.100 256.800
2804100 4.100 4.100 252.900 256.100
2804400 4.100 4.100 256.100 256.100
2804700 4.100 4.100 265.300 265.300
2805000 4.100 4.100 268.500 265.300
2805300 3.700 3.700 247.700 258.300
2805600 3.700 3.700 258.300 258.300
2805900 3.700 3.700 265.300 259.800
2806200 3.700 3.700 259.800 264.200
2806500 3.700 3.700 264.200 264.200
2806800 3.700 3.700 267.500 264.200
2807100 3.500 3.700 255.900 267.500
2807400 3.700 3.600 274.600 268.000
2807700 3.600 3.600 268.000 270.000
2808000 3.400 3.400 270.000 268.000
2808300 3.300 3.400 265.400 270.000
2808600 3.400 3.300 286.300 265.400
2808900 3.100 3.400 254.400 286.300
2809200 3.400 3.300 312.600 298.100
2809500 3.300 3.300 298.100 300.200
2809800 3.300 3.300 300.200 298.100
2810100 3.300 3.300 291.300 291.300
2810400 3.300 3.300 290.000 290.000
2810700 2.900 3.100 238.400 279.700
2811000 3.100 3.000 279.700 238.400
2811300 3.000 3.100 236.700 244.400
2811600 3.200 3.200 244.400 236.700
2811900 3.200 3.200 233.000 244.400
2812200 3.700 3.700 250.500 242.500
2812500 3.800 3.800 242.500 250.500
2812800 4.100 4.100 257.900 242.500
2813100 4.150 4.150 229.800 231.300
2813400 4.250 4.250 231.300 231.300
2813700 4.550 4.550 256.100 244.100
